state,visited
Alabama,24
Alaska,7
Arizona,49
Arkansas,15
California,139
Colorado,31
Connecticut,3
Delaware,1
District of Columbia,5
Florida,60
Georgia,27
Hawaii,6
Idaho,6
Illinois,26
Indiana,14
Iowa,5
Kansas,10
Kentucky,18
Louisiana,19
Maine,2
Maryland,15
Massachusetts,12
Michigan,12
Minnesota,14
Mississippi,8
Missouri,21
Montana,5
Nebraska,7
Nevada,13
New Hampshire,2
New Jersey,12
New Mexico,21
New York,17
North Carolina,32
North Dakota,1
Ohio,26
Oklahoma,26
Oregon,15
Pennsylvania,22
Rhode Island,2
South Carolina,17
South Dakota,4
Tennessee,22
Texas,81
Utah,8
Vermont,2
Virginia,17
Washington,26
West Virginia,12
Wisconsin,17
Wyoming,2
