state,visited
Alabama,138
Alaska,49
Arizona,332
Arkansas,102
California,1055
Colorado,260
Connecticut,22
Delaware,17
District of Columbia,21
Florida,461
Georgia,268
Hawaii,37
Idaho,61
Illinois,146
Indiana,137
Iowa,45
Kansas,66
Kentucky,132
Louisiana,149
Maine,30
Maryland,102
Massachusetts,53
Michigan,123
Minnesota,80
Mississippi,94
Missouri,190
Montana,46
Nebraska,37
Nevada,121
New Hampshire,19
New Jersey,84
New Mexico,152
New York,133
North Carolina,204
North Dakota,15
Ohio,198
Oklahoma,202
Oregon,116
Pennsylvania,150
Rhode Island,5
South Carolina,113
South Dakota,24
Tennessee,200
Texas,640
Utah,85
Vermont,11
Virginia,126
Washington,198
West Virginia,65
Wisconsin,111
Wyoming,21
